Kennzeichen,Bezirksname,Einwohnerzahl
301,Krems an der Donau (Stadt),23.947
302,St. Pölten (Stadt),51.926
303,Waidhofen an der Ybbs (Stadt),11.425
304,Wiener Neustadt (Stadt),41.701
305,Amstetten,112.528
306,Baden,139.496
307,Bruck an der Leitha,43.298
308,Gänserndorf,96.533
309,Gmünd,37.564
310,Hollabrunn,50.174
311,Horn,31.334
312,Korneuburg,75.699
313,Krems (Land),55.973
314,Lilienfeld,26.180
315,Melk,76.365
316,Mistelbach,73.959
317,Mödling,114.825
318,Neunkirchen,85.344
319,Sankt Pölten (Land),96.935
320,Scheibbs,40.928
321,Tulln,71.485
322,Waidhofen an der Thaya,26.597
323,Wiener Neustadt (Land),75.129
324,Wien Umgebung,115.986
325,Zwettl,43.261
